id,glo_food_type_id,name ,for_loss,for_maintain,size,cuisine,quantity,calarie,serving,weight,totaldietaryfibre,fat,protein,carbohydrates,carb_type,glycemic_index,carb_perc,fat_perc,protein_perc,cholestrol,sodium,calcium,iron,sugar,vitaminc,insolubledietaryfibre,insolublefibre,solubledietaryfibre,totaldietaryfibrebackup,totalmonounsaturatedfattyacids,totalpolyunsaturatedfattyacids,totalsaturatedfattyacids,totalsaturatedfattyacidsbackup,totaltransfat,high_on_which_macronutrient,raw,dish,m1,m2,m3,m4,m5_loss,m5_gain,m5_stable,summer,winter,autumn,dessert,snaks,nuts,drink,salad,yogurt,solid_meal,fruit,pulses,non_veg_gravy_items,grains_cereals,vegetable,dairy,poultary,seafood,pork,meat,lamb_mutton,beef,other_meat,egg,pulse,cereal_grains,wheat,fruits,vegetables,oils_and_fats,sugars,nut,diabetes,hyper_tension,osteoporosis,lactose_intolerance,gluten_intolerance,anaemia,hypothyroidism,pcod,reciepe,image_name,status_id
33,\N,Aloo Paneer Parantha,1,0,Piece,Generic,1,145.06,1,100,2.47,5.17,4.96,19.84,0,0,0,0,0,2.13,203.22,47.38,1.41,0,7.71,0,0,0,0,1.03,0.62,0.75,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,,1483703077_33.jpg,1
34,\N,Aloo Paneer Parantha,0,0,Pieces,Generic,2,290.12,1,200,4.94,10.34,9.92,39.68,0,0,0,0,0,4.26,406.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,,1483703105_34.jpg,1
35,0,Aloo Paneer Subzi,1,0,Katori,Generic,1,92.46,1,100,1.26,5.53,4.07,6.68,0,0,0,0,0,3.05,149.02,61.7,0.47,0,13.25,0,0,0,0,0.01,0.02,1.74,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,,41.jpg,1
36,0,Aloo Paneer Toast Without Butter,1,0,Piece,Generic,1,112.45,1,100,0.95,5.95,5.96,8.98,0,0,0,0,0,4.81,326.03,70.93,0.27,0,10.81,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,,42.jpg,1
37,\N,Aloo Parantha Roll with Ketchup,0,0,Piece,Generic,1,294.45,1,100,4.51,16.27,4.89,32.47,0,0,0,0,0,0,1430.81,29.17,2.79,0,13.73,0,0,0,0,0.03,0.06,13.51,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,,1483790515_37.jpg,1
38,0,Aloo Pepper Curry,0,0,Katori,Generic,1,534.65,1,250,10.24,46.07,4.12,28.06,0,0,0,0,0,0,3764.64,170.65,4.41,0,61.16,0,0,0,0,26.32,9.47,5.62,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,,1483790430_38.jpg,1
39,0,Aloo Pineapple Peanut Chaat,1,0,Bowl,Generic,1,400.78,1,250,8.04,24.92,12.19,36.86,0,0,0,0,0,0,1292.03,81.51,4.68,0,66.91,0,0,0,0,13.51,6.61,3.52,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,1479216366_44.jpg,1
40,0,Aloo Poha,0,0,Bowl,Generic,1,217.23,1,250,1.74,5.91,3.63,37.66,0,0,0,0,0,0,1606.82,56.22,7.03,0,12.66,0,0,0,0,0.91,3.06,0.49,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,,46.jpg,1
41,0,Aloo Pyaz Ki Subzi,0,0,Katori,Generic,1,119.34,1,150,2.25,5.11,1.85,16.49,0,0,0,0,0,0,434.5,45.83,1,0,22.25,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,,49.jpg,1
42,0,Aloo Pyaz Parantha,1,0,Piece,Generic,1,146.51,1,60,2.81,7.16,2.55,18.14,0,0,0,0,0,0,301.31,23.82,1.1,0,6.08,0,0,0,0,0.02,0.04,5.88,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,,50.jpg,1
